#CODE;RUSSIAN;x
#TITLE_CREATION_HAS_OWNER;Вы не можете создавать или узурпировать титулы, пока владеете временным титулом.;x
EVTDESC_RoI_153;Собрался совет после покушения на убийство. Все Ваши советники согласны, что эта угроза должна быть устранена силой.;x
EVTOPTA_RoI_153;Да, отправьте войска.;x
EVTOPTB_RoI_153;Нет, это слишком опасно. Оставьте это.;x
EVTDESC_RoI_155;Вашим всадникам до сих пор не удалось найти подсказок относительно виновников нападений. По крайней мере караваны которые они сопровождают в безопасности. Также было замечено, что подобного рода атакам караваны на небольшие расстояния никогда не подвергались. Только дальноходные. Странно.;x
EVTOPTA_RoI_155;Обеспечьте охрану всем дальноходным караванам в этом округе.;x
EVTOPTB_RoI_155;Оставьте это. Требуется слишком много ресурсов.;x
EVTDESC_RoI_156;Несколько месяцев прошло с тех пор, как Вы обеспечили крупным военным эскортом все дальноходные караваны города [From.GetName]. За этот период ни один караван не исчез. Путешественники и торговцы снова могут вздохнуть с облегчением. Вас по прежнему раздражает, что Вы никогда не узнаете кто это сделал.  Однако, есть слухи об увеличении числа исчезнувших караванов в ряде соседних округов...;x
EVTOPTA_RoI_156;Это больше не моя проблема.;x
EVTDESC_RoI_157;Прибыла делегация от Ваших подданных. Крупномасштабная работа по вырубке леса в одном из Ваших лесов. Недавняя вспышка заболевания слонов означает, что крестьянам не хватает животных для завершения работ до начала сезона дождей. Они просят Вас одолжить им слонов для ускорения работ.;x
EVTOPTA_RoI_157;Я отправлю слонов.;x
EVTOPTB_RoI_157;Я не могу дать моих слонов, но я отправлю солдат в помощь.;x
EVTOPTC_RoI_157;Ваши проблемы меня не касаются.;x
neglected_development;Заброшенная разработка.;x
peasants_protected;Ваши подданные чувствуют себя защищенными.;x
annoyed_religious;Вы раздосадовали религиозные власти. Они недовольны.;x
religious_appreciate;Религиозные власти одобряют.;x
